"Rule","Section","Conditions","Match Type","Actions","Comments"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop8","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop9","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop30","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop31","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop67","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop68","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop70","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop71","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop75","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop66","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
